,DistrictName,Depot Name,google Maps Location,,,,,,,,google Maps Location,Latitude,Longitude
115,Chikkamagaluru,Tarikere,"PR56+WXW, Near Railway Station, Tarikere, Karnataka 577228, India",,,,,,,,"PR56+WXW, Near Railway Station, Tarikere, Karnataka 577228, India",11.24581,75.78312
116,Chikkamagaluru,Kadur,"H236+3XX, Doddapete, Kadur, Karnataka 577548, India",,,,,,,,"H236+3XX, Doddapete, Kadur, Karnataka 577548, India",13.5527375,76.0124844
117,Chikkamagaluru,Chikkamagaluru,"near, hanumanthappa circle, Basavanahalli, Chikkamagaluru, Karnataka 577101, India",,,,,,,,"near, hanumanthappa circle, Basavanahalli, Chikkamagaluru, Karnataka 577101, India",13.325621,75.774204
118,Chikkamagaluru,Mudigere,"4JMR+RHP, Mudigere, Karnataka 577132, India",,,,,,,,"4JMR+RHP, Mudigere, Karnataka 577132, India",13.1345875,75.6414531
119,Tumkuru,Chiknayakanahalli,"CJ5C+RWG, NH-150A, Chikkanayakanahalli, Karnataka 572214, India",,,,,,,,"CJ5C+RWG, NH-150A, Chikkanayakanahalli, Karnataka 572214, India",13.4141898,76.621836
120,Tumkuru,Pavagada,"Pavagada, Tumkur, SH-3, Madugiri Pavagada Chikkahalli Road, Tumkur, Tumkur, Karnataka 561202, India",,,,,,,,"Pavagada, Tumkur, SH-3, Madugiri Pavagada Chikkahalli Road, Tumkur, Tumkur, Karnataka 561202, India",13.3124911,77.2391292
121,Tumkuru,Madhugiri,"M668+P83, Madhugiri, Karnataka 572132, India",,,,,,,,"M668+P83, Madhugiri, Karnataka 572132, India",13.6617625,77.2157969
122,Tumkuru,Koratagere,"G6CR+F4X, Koratagere, Karnataka 572129, India",,,,,,,,"G6CR+F4X, Koratagere, Karnataka 572129, India",13.5212375,77.2403594
123,Tumkuru,Tumakuru,"84Q7+M4X, taluk walfare office, Tumakuru, Karnataka 572101, India",,,,,,,,"84Q7+M4X, taluk walfare office, Tumakuru, Karnataka 572101, India",13.3392411,77.1128708
124,Tumkuru,Gubbi,"8W7R+Q6G, MG Rd, Gubbi, Karnataka 572216, India",,,,,,,,"8W7R+Q6G, MG Rd, Gubbi, Karnataka 572216, India",13.3155515,76.9402992
125,Tumkuru,Tiptur,"4, National Highway 206, Vidya Nagar, Tiptur, Karnataka 572202, India",,,,,,,,"4, National Highway 206, Vidya Nagar, Tiptur, Karnataka 572202, India",13.262551,76.4543107
